path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/66.gml,0.6906701696553037,[-1.43115266  1.97232645],30
graphs/main/nodes_12/depth_3/67.gml,0.8226915584567945,[ 0.19298917 -1.87074597],27
graphs/main/nodes_12/depth_3/68.gml,0.7335923252198425,[-0.97492294 -2.7922918 ],54
graphs/main/nodes_12/depth_3/69.gml,0.7575785652113842,[-2.9376777   1.25332212],39
graphs/main/nodes_12/depth_3/70.gml,0.8238976229420716,[-2.96461031  1.28482629],45
graphs/main/nodes_12/depth_3/71.gml,0.7828992998778094,[-1.79034312 -2.76696771],90
graphs/main/nodes_12/depth_3/72.gml,0.7746380377091926,[-1.35951611 -2.23886084],54
graphs/main/nodes_12/depth_3/73.gml,0.8455143846617237,[2.98255336 1.83240101],54
graphs/main/nodes_12/depth_3/74.gml,0.7834524333121409,[-1.33252927  2.01459704],27
graphs/main/nodes_12/depth_3/75.gml,0.757103556435794,[-1.79233115 -2.30797068],27
graphs/main/nodes_12/depth_3/76.gml,0.7068188255080569,[-1.79710405 -2.42287462],30
graphs/main/nodes_12/depth_3/77.gml,0.7785252159126901,[ 1.752859  -0.3277583],54
graphs/main/nodes_12/depth_3/78.gml,0.8572410321079121,[-2.96795785 -1.84324859],81
graphs/main/nodes_12/depth_3/79.gml,0.7920875370705786,[ 0.18560598 -1.86939412],27
graphs/main/nodes_12/depth_3/80.gml,0.832694081626802,[ 0.17870764 -1.85562775],30
graphs/main/nodes_12/depth_3/81.gml,0.7621804934678289,[-1.39735225  1.21089272],33
graphs/main/nodes_12/depth_3/82.gml,0.7291666666665703,[ 2.35619516 -0.66369971],27
graphs/main/nodes_12/depth_3/83.gml,0.7129933753590094,[ 1.78168055 -0.86770612],30
graphs/main/nodes_12/depth_3/84.gml,0.7908461268854035,[ 1.79376937 -0.59858518],27
graphs/main/nodes_12/depth_3/85.gml,0.8211939182484045,[-1.39899541  1.87633268],33
graphs/main/nodes_12/depth_3/86.gml,0.8355632973261763,[ 0.17920731 -1.85953567],27
graphs/main/nodes_12/depth_3/87.gml,0.8306430379564808,[-0.177945   -2.85981973],81
graphs/main/nodes_12/depth_3/88.gml,0.7398123725191951,[1.14981731 1.08348005],33
graphs/main/nodes_12/depth_3/89.gml,0.6814419847801795,[-1.40744896  0.95547819],36
